,Mortgage,HE Revolving,Auto Loan,Credit Card,Other,Total
99:Q1,3.20,0.08,0.35,0.48,0.43,4.54
99:Q2,3.31,0.08,0.35,0.48,0.41,4.63
99:Q3,3.46,0.09,0.38,0.50,0.39,4.82
99:Q4,3.37,0.10,0.39,0.50,0.40,4.76
00:Q1,3.62,0.10,0.41,0.52,0.41,5.06
00:Q2,3.71,0.11,0.44,0.54,0.45,5.25
00:Q3,3.82,0.10,0.46,0.53,0.43,5.34
00:Q4,3.90,0.12,0.47,0.58,0.44,5.51
01:Q1,4.08,0.12,0.51,0.60,0.45,5.76
01:Q2,3.84,0.13,0.51,0.61,0.44,5.53
01:Q3,4.17,0.14,0.52,0.63,0.43,5.89
01:Q4,4.15,0.16,0.55,0.64,0.43,5.93
02:Q1,4.45,0.17,0.58,0.63,0.43,6.26
02:Q2,4.43,0.18,0.58,0.66,0.45,6.30
02:Q3,4.74,0.20,0.61,0.68,0.46,6.69
02:Q4,4.66,0.22,0.63,0.69,0.46,6.66
